User_Id,Age,Gender,City,Account_age_Months,Subscription_Type,Payment_Method,Monthly_Subscription_Fee,Plan_Duration,Auto_Renewal,Daily_Listening_Minutes,Songs_Playes_Per_Day,Weekly_Apps_Opens,Playlists_Created,Podcasts_Listened,Skip_Rate,Offline_Downloads,Last_Login_Days_Ago,Device_Type,App_Rating,Customer_Support_Tickets,Ads_Clicked,Recommendation_Usage,Lifetime_Revenue,Avg_Monthly_Spend,Churn
1,48,Female,Mumbai,30,Active,UPI,4,Quarterly,Yes,100,34,6,10,4,60,30,17,Desktop,1,5,9,Yes,477,1,No
2,21,Female,Hyderabad,28,Cancelled,UPI,11,Yearly,No,49,31,1,16,3,16,1,26,Mobile,2,3,6,No,7,7,No
3,35,Male,Mumbai,16,Active,Credit/Debit Card,5,Monthly,No,229,34,5,17,8,38,38,8,Mobile,2,4,0,No,138,13,No
4,52,Female,Bangalore,31,Cancelled,UPI,1,Yearly,Yes,239,11,3,19,5,18,19,10,Mobile,3,5,10,No,372,12,No
5,44,Male,Bangalore,3,Cancelled,Credit/Debit Card,10,Monthly,Yes,33,66,1,8,2,45,42,8,Desktop,5,5,8,No,116,13,Yes
6,42,Female,Bangalore,13,Active,Net Banking,4,Yearly,Yes,77,65,10,14,10,5,31,7,Mobile,1,4,15,No,90,8,Yes
7,23,Male,Bangalore,9,Active,UPI,0,Monthly,No,119,21,26,20,3,23,41,22,Mobile,4,2,0,Yes,12,13,Yes
8,57,Male,Bangalore,56,Active,Credit/Debit Card,6,Yearly,No,108,52,26,4,4,24,11,18,Mobile,5,4,1,No,447,11,No
9,46,Female,Ahmedabad,44,Cancelled,UPI,6,Quarterly,Yes,82,20,7,1,6,42,12,7,Mobile,2,1,14,No,112,10,Yes
10,34,Female,Hyderabad,34,Cancelled,UPI,10,Yearly,Yes,69,15,36,18,6,56,32,6,Tablet,2,2,0,Yes,278,12,Yes
11,40,Female,Pune,28,Active,UPI,2,Quarterly,Yes,233,24,36,2,7,20,22,23,Mobile,2,3,7,No,268,5,Yes
12,21,Female,Ahmedabad,13,Active,UPI,4,Monthly,Yes,7,19,16,7,7,28,39,6,Mobile,3,3,13,No,6,1,Yes
13,50,Male,Chennai,26,Active,UPI,4,Monthly,No,105,24,2,2,5,13,37,17,Desktop,2,1,6,Yes,393,10,Yes
14,20,Male,Mumbai,23,Active,Credit/Debit Card,13,Yearly,No,129,36,32,15,9,21,9,6,Mobile,5,2,2,No,356,1,Yes
15,49,Female,Mumbai,40,Active,UPI,11,Yearly,No,284,54,37,5,5,55,35,23,Mobile,1,2,2,Yes,190,10,No
16,22,Male,Bangalore,45,Active,Credit/Debit Card,4,Quarterly,Yes,248,28,4,13,7,35,23,25,Mobile,3,2,5,Yes,372,4,Yes
17,50,Female,Ahmedabad,53,Cancelled,Credit/Debit Card,8,Monthly,No,171,16,37,11,5,55,18,1,Mobile,3,3,11,No,96,9,No
18,39,Female,Pune,10,Active,UPI,15,Monthly,No,253,21,34,4,6,55,49,1,Mobile,5,0,2,No,259,15,Yes
19,50,Female,Hyderabad,12,Active,Credit/Debit Card,12,Monthly,Yes,194,34,17,15,5,11,24,21,Mobile,2,4,7,No,129,5,No
20,29,Female,Pune,13,Active,Net Banking,3,Yearly,No,178,27,19,18,0,7,10,24,Mobile,2,0,14,Yes,197,3,No
21,53,Female,Mumbai,12,Active,UPI,9,Quarterly,Yes,50,46,19,7,4,50,16,7,Desktop,4,1,0,No,397,7,Yes
22,48,Female,Bangalore,41,Cancelled,Net Banking,13,Quarterly,No,215,15,10,9,9,34,43,5,Desktop,1,2,13,No,446,10,Yes
23,32,Male,Ahmedabad,50,Cancelled,UPI,2,Quarterly,No,226,78,33,5,7,16,24,18,Mobile,3,2,5,No,242,9,No
24,24,Female,Hyderabad,4,Cancelled,UPI,11,Monthly,Yes,149,56,31,13,2,36,40,26,Mobile,5,3,3,Yes,200,8,No
25,28,Male,Hyderabad,59,Active,UPI,8,Quarterly,Yes,42,37,24,1,4,33,34,19,Mobile,1,1,0,No,454,15,No
26,52,Female,Kolkata,59,Active,Net Banking,10,Monthly,No,253,11,39,1,6,28,25,6,Mobile,3,4,6,No,25,12,Yes
27,25,Female,Ahmedabad,21,Active,Net Banking,6,Monthly,Yes,236,18,40,4,4,26,19,11,Mobile,3,3,4,No,417,8,Yes
28,33,Female,Bangalore,2,Active,Credit/Debit Card,14,Monthly,No,135,10,13,20,10,18,3,30,Mobile,5,0,1,Yes,17,15,No
29,32,Female,Pune,36,Active,UPI,10,Monthly,Yes,156,21,26,7,4,11,23,18,Mobile,3,1,2,Yes,180,3,Yes
30,26,Female,Chennai,36,Cancelled,Credit/Debit Card,10,Yearly,No,208,74,34,10,6,58,0,3,Tablet,2,0,12,Yes,34,3,Yes
31,23,Male,Kolkata,54,Cancelled,UPI,1,Quarterly,No,75,27,1,14,2,56,8,27,Mobile,3,1,10,No,48,12,No
32,23,Female,Mumbai,19,Active,Credit/Debit Card,1,Monthly,Yes,151,67,8,12,8,16,25,29,Mobile,1,2,0,Yes,60,14,Yes
33,38,Female,Kolkata,17,Active,Credit/Debit Card,0,Monthly,Yes,127,69,14,0,3,36,43,4,Mobile,1,4,7,Yes,183,0,Yes
